Магическая битва,Jujutsu Kaisen,2020,1381125,//aniqit.com/serial/29442/cc66eee3d513f88a640f96f6a9e814de/720p
Сводки бюро расследований,Min Diao Ju Yi Wen Lu,2020,1399231,//aniqit.com/serial/28457/22bcfef9ebbb1ed7992860bcb696509a/720p
Жизнь без оружия [ТВ-2],No Guns Life (2020),2020,1309383,//aniqit.com/serial/27660/b7d739b89c9bf8c9e2f33efad0f12585/720p
Магистр дьявольского культа: Чиби,Mo Dao Zu Shi Q,2020,,//aniqit.com/serial/29352/c2753cd2a6329fb554fae61dd408eefb/720p
Аватар короля 2,Quan Zhi Gao Shou 2,2020,1046252,//aniqit.com/serial/29376/011954f04005dc75f0e772a1a1b58041/720p
Встречаясь на кухне,"Wo, xi huan ni",2020,1419668,//kodik.cc/serial/29290/c2f4bb532d4b81861b81037262632da0/720p
Истории молодых,Cheongchunggirok,2020,1323571,//kodik.cc/serial/29228/2cf6b973b0adf8aa37511c132547f901/720p
Дневник мистических существ,Journal of the Mysterious Creatures,2019,,//aniqit.com/serial/17914/8e35e36852b52926d1f65378d8809fa3/720p
Доктор Стоун,Dr. Stone,2019,1249511,//aniqit.com/serial/17878/61dbdf29d1c2224209e21feef166013b/720p
Рыцари Зодиака ONA,Saint Seiya: Knights of the Zodiac,2019,1047462,//aniqit.com/serial/17675/2609353c607ba4212085eb5237a089f3/720p
Бэм,Bem,2019,1271349,//aniqit.com/serial/17605/e91a183418d83b7ba0ecd11877cbf2c1/720p
Арифурэта: Сильнейший ремесленник в мире [ТВ-1],Arifureta Shokugyou de Sekai Saikyou,2019,1272446,//aniqit.com/serial/17577/60848d595ffb069dc81bdd5e0e9f2546/720p
Сага о Винланде,Vinland Saga,2019,1274280,//aniqit.com/serial/17563/2c5319cfd8eef15322e3dfb053c5f4a6/720p
Пламенная бригада пожарных [ТВ-1],Enen no Shouboutai,2019,1235054,//aniqit.com/serial/19430/fbbadf781969683ddfc3622ec0ebad71/720p
7 семян (первый сезон),7 Seeds,2019,1249499,//aniqit.com/serial/17285/5d2af4c424c50b7c484c251c9bcf85ec/720p
Легенда о героях Галактики (второй сезон),Ginga Eiyuu Densetsu: Die Neue These - Seiran,2019,1115329,//aniqit.com/serial/29260/5843d98afc0077d0691d4f120518ce96/720p
Успех,Bom Sucesso,2019,1294194,//kodik.cc/serial/17993/5de791a24b13a97c95c54e6e09d0a58a/720p
